time,pitch,roll
1487475890395,-21.13116,-76.67642
1487475890401,-21.22997,-76.61213
1487475890403,-21.32905,-76.54068
1487475890413,-21.425169,-76.48754
1487475890415,-21.53357,-76.43552
1487475890422,-21.642302,-76.39051
1487475890424,-21.775452,-76.347786
1487475890431,-21.912222,-76.30779
1487475890433,-22.046198,-76.27208
1487475890443,-22.171667,-76.237946
1487475890445,-22.288536,-76.21253
1487475890450,-22.378204,-76.19631
1487475890452,-22.4803,-76.159775
1487475890461,-22.558273,-76.14239
1487475890463,-22.648676,-76.111824
1487475890470,-22.74247,-76.09838
1487475890472,-22.84246,-76.06617
1487475890480,-22.958147,-76.0307
1487475890482,-23.04959,-76.00726
1487475890493,-23.128963,-75.98986
1487475890496,-23.193125,-75.96849
1487475890500,-23.245165,-75.945946
1487475890502,-23.30972,-75.92456
1487475890511,-23.374475,-75.91761
1487475890513,-23.464176,-75.89858
1487475890520,-23.566532,-75.87351
1487475890522,-23.672266,-75.86572
1487475890530,-23.781343,-75.86076
1487475890533,-23.887651,-75.85303
1487475890544,-23.997303,-75.848114
1487475890547,-24.09778,-75.85213
1487475890550,-24.195457,-75.86063
1487475890552,-24.277815,-75.865166
1487475890561,-24.36342,-75.87983
1487475890563,-24.455767,-75.87554
1487475890569,-24.538818,-75.887474
1487475890571,-24.616089,-75.886505
1487475890580,-24.696613,-75.881065
1487475890582,-24.761768,-75.87889
1487475890593,-24.827154,-75.876724
1487475890595,-24.902466,-75.858345
1487475890600,-24.987783,-75.83839
1487475890601,-25.073448,-75.83305
1487475890610,-25.146736,-75.83381
1487475890612,-25.230143,-75.82566
1487475890619,-25.28552,-75.834076
1487475890621,-25.338343,-75.83958
1487475890630,-25.378754,-75.85105
1487475890633,-25.429422,-75.85356
1487475890643,-25.493275,-75.86468
1487475890645,-25.573177,-75.88006
1487475890649,-25.653505,-75.88812
1487475890651,-25.759949,-75.89897
1487475890660,-25.859598,-75.91435
1487475890662,-25.972557,-75.938576
1487475890669,-26.101664,-75.9599
1487475890671,-26.246962,-75.978355
1487475890679,-26.379808,-76.01026
1487475890681,-26.523405,-76.02604
1487475890688,-26.657244,-76.05823
1487475890691,-26.7785,-76.089096
1487475890698,-26.887089,-76.12603
1487475890700,-26.980257,-76.16604
1487475890710,-27.060665,-76.197205
1487475890712,-27.096628,-76.2253
1487475890718,-27.135538,-76.24892
1487475890720,-27.169437,-76.26647
1487475890728,-27.208906,-76.28258
1487475890731,-27.259197,-76.297226
1487475890738,-27.312412,-76.30746
1487475890740,-27.363327,-76.32205
1487475890750,-27.398773,-76.33195
1487475890752,-27.450329,-76.34647
1487475890759,-27.488956,-76.36673
